,0
0,D
1,D
2,A
3,No Answer Found
4,B
5,A
6,A
7,A
8,No Answer Found
9,A
10,A
11,A
12,C
13,E
14,A
15,A
16,A
17,A
18,No Answer Found
19,A
20,B
21,No Answer Found
22,No Answer Found
23,A
24,No Answer Found
25,No Answer Found
26,A
27,A
28,A
29,A
30,A
31,E
32,A
33,A
34,A
35,B
36,No Answer Found
37,A
38,A
39,No Answer Found
40,A
41,A
42,C
43,No Answer Found
44,A
45,C
46,C
47,A
48,A
49,A
50,D
51,C
52,A
53,No Answer Found
54,D
55,B
56,A
57,B
58,B
59,A
60,No Answer Found
61,A
62,A
63,A
64,A
65,C
66,C
67,E
68,D
69,A
70,B
71,A
72,A
73,C
74,B
75,A
76,A
77,E
78,B
79,A
80,C
81,B
82,B
83,A
84,A
85,No Answer Found
86,A
87,No Answer Found
88,A
89,A
90,A
91,No Answer Found
92,A
93,A
94,No Answer Found
95,C
96,No Answer Found
97,A
98,E
99,A
100,A
101,D
102,D
103,C
104,C
105,No Answer Found
106,A
107,No Answer Found
108,B
109,No Answer Found
110,E
111,C
112,B
113,B
114,D
115,E
116,A
117,E
118,No Answer Found
119,E
120,No Answer Found
121,A
122,No Answer Found
123,B
124,A
125,A
126,C
127,D
128,A
129,D
130,C
131,C
132,A
133,E
134,E
135,E
136,No Answer Found
137,E
138,A
139,A
140,C
141,No Answer Found
142,B
143,No Answer Found
144,A
145,No Answer Found
146,B
147,A
148,A
149,A
150,C
151,A
152,C
153,A
154,A
155,A
156,E
157,A
158,A
159,No Answer Found
160,B
161,D
162,A
163,A
164,D
165,A
166,E
167,B
168,A
169,A
170,B
171,A
172,A
173,A
174,B
175,A
176,D
177,C
178,A
179,E
180,B
181,No Answer Found
182,A
183,C
184,C
185,A
186,A
187,A
188,A
189,C
190,A
191,C
192,A
193,A
194,D
195,C
196,A
197,A
198,A
199,A
